ep2	Cancel	S4EP2FX_002_SHSY09_22.OGG
ep2	Capsule	S4EP2FX_075_S1C4_44.OGG
ep2	Coop01	S4EP2FX_202_332_V1_1028.OGG
ep2	Countdown	S4EP2FX_005_SHSY13_22.OGG
ep2	Cursol	S4EP2FX_000_SHSY07_22.OGG
ep2	Damage1	S4EP2FX_013_S1A3_44.OGG
ep2	Damage2	S4EP2FX_022_S1A6_44.OGG
ep2	Damage3	S4EP2FX_014_S1B2_44.OGG
ep2	Dash1	S4EP2FX_020_SKB6_44.OGG
ep2	Dash2	S4EP2FX_021_SK3C_44.OGG
ep2	DashPanel	S4EP2FX_069_SHCN000B_22.OGG
ep2	Dawson01	S4EP2FX_026a_SK4D_44.OGG
ep2	Enemy	S4EP2FX_017a_S2_3441_44.OGG
ep2	GoalPanel	S4EP2FX_074_S1CF_44.OGG
ep2	Homing	S4EP2FX_015_SHPLSP01_22.OGG
ep2	Jetwall02	S4EP2FX_170X_S3_4C.OGG
ep2	Jetwall05	S4EP2FX_170X_S3_4C.OGG
ep2	Jump	S4EP2FX_009_SK62_44.OGG
ep2	Kokekko01	S4EP2FX_026a_SK4D_44.OGG
ep2	LightRing03	S4EP2FX_248_V1_1028.OGG
ep2	LockedOn	S4EP2FX_144a_COLORS_OBJ_LOCKON_22.OGG
ep2	MS_Burner2	S4EP2FX_220_V1_1028.OGG
ep2	MS_Damage1	S4EP2FX_213_V1_1028.OGG
ep2	MS_Damage3	S4EP2FX_214_V1_1111.OGG
ep2	MS_Ring2	S4EP2FX_212_V1_1028.OGG
ep2	Marker	S4EP2FX_073_S1A1_44.OGG
ep2	MetalUnit02	S4EP2FX_236_V1_1111.OGG
ep2	MetalUnit03	S4EP2FX_237_V1_1028.OGG
ep2	MetalUnit04	S4EP2FX_238_V1_1028.OGG
ep2	MetalUnit05	S4EP2FX_239_V1_1028.OGG
ep2	MetalUnit09	S4EP2FX_243_321_V1_1028.OGG
ep2	Ok	S4EP2FX_001_SHSY08_22.OGG
ep2	Pause	S4EP2FX_004_SHSY10_22.OGG
ep2	Result1	S4EP2FX_006_S1CD_44.OGG
ep2	Result2	S4EP2FX_007_S1C5_44.OGG
ep2	Ring1	S4EP2FX_011_SK33_44.OGG
ep2	Ring1L	S4EP2FX_112a_S2_2235_44L.OGG
ep2	Ring1R	S4EP2FX_113a_S2_2235_44R.OGG
ep2	Ring2	S4EP2FX_012_SKB9_44.OGG
ep2	Rotary_sw02	S4EP2FX_168X_S3_CC.OGG
ep2	SandBranch01	S4EP2FX_253L_V1_1113.OGG
ep2	SandBranch04	S4EP2FX_253L_V1_1113.OGG
ep2	SandTrank02	S4EP2FX_253L_V1_1113.OGG
ep2	Sega_Logo	S4EP2FX_111a_S2_8271_MaSTER_3DB_44.OGG
ep2	Shutter01	S4EP2FX_267_V1_1028.OGG
ep2	Shutter02	S4EP2FX_268_V1_1028.OGG
ep2	SpStage04	S4EP2FX_202_332_V1_1028.OGG
ep2	Special1	S4EP2FX_104_S1C3_44.OGG
ep2	Special2	S4EP2FX_105_S1CA_44.OGG
ep2	Special_1up	S4EP2FX_008_S1BF_44.OGG
ep2	Spin	S4EP2FX_019_SKAB_44.OGG
ep2	Spray	S4EP2FX_023_SK6C_44.OGG
ep2	Spring	S4EP2FX_067_SKB1_44.OGG
ep2	TlsProp	S4EP2FX_151X_S3_D1.OGG
ep2	TlsScrew	S4EP2FX_151X_S3_D1.OGG
ep2	Tomado01	S4EP2FX_229_V1_1028.OGG
ep2	Tomado02	S4EP2FX_230_V1_1111.OGG
ep2	Tomado06	S4EP2FX_234_V1_1111.OGG
ep2	Transform	S4EP2FX_016a_S2_645F_44.OGG
ep2	Window	S4EP2FX_003_SHSY05_32.OGG
ep2	WorldMap1	S4EP2FX_146a_WORLDMaP1_44.OGG
ep2	WorldMap3	S4EP2FX_146a_WORLDMaP1_44.OGG
ep2	e2_Boss1_01	S4EP2FX_177X_S3_C9.OGG
ep2	e2_Boss1_05	S4EP2FX_181X_S3_D5.OGG
ep2	e2_Boss1_07	S4EP2FX_183X_S2_61_5C.OGG
ep2	e2_Boss1_08	S4EP2FX_159X_S3_59.OGG
ep2	e2_Boss1_09	S4EP2FX_185X_S3_A8.OGG
ep2	e2_Boss1_10	S4EP2FX_186X_S3_A2.OGG
ep2	e2_Boss1_13	S4EP2FX_189X_S3_A0.OGG
ep2	e2_Boss1_17	S4EP2FX_193_V3_1213.OGG
ep2	e2_Boss1_19	S4EP2FX_195X_S3_95.OGG
ep2	e2_Boss1_20	S4EP2FX_196X_S3_9F.OGG
ep2	e2_Boss1_21	S4EP2FX_196X_S3_70.OGG
ep2	e2_Boss1_22	S4EP2FX_196X_S3_70.OGG
ep2	e2_Boss1_23	S4EP2FX_196X_S3_70.OGG
ep2	e2_Boss1_24	S4EP2FX_196X_S3_70.OGG
ep2	e2_Boss1_25	S4EP2FX_201X_S3_4E.OGG
ep2	e2_Boss2_06	S4EP2FX_276_V1_1111.OGG
ep2	e2_Boss2_07	S4EP2FX_277_V1_1028.OGG
ep2	e2_Boss3_02	S4EP2FX_279_337_V1_1111.OGG
ep2	e2_Boss3_06	S4EP2FX_283_V1_1109.OGG
ep2	e2_Boss3_08	S4EP2FX_285_V1_1111.OGG
ep2	e2_Boss3_12	S4EP2FX_291_V1_1111.OGG
ep2	e2_Boss3_14	S4EP2FX_291_V1_1111.OGG
ep2	e2_Boss3_17	S4EP2FX_279_337_V1_1111.OGG
ep2	e2_Boss4_06	S4EP2FX_243_321_V1_1028.OGG
ep2	e2_BossF_05	S4EP2FX_309L_V1_1112.OGG
ep2	e2_BossF_06	S4EP2FX_310L_V2_1112.OGG
ep2	e2_BossM_05	S4EP2FX_297_V1_1112.OGG
ep2	e2_BossM_07	S4EP2FX_299_V1_1028.OGG
ep2	e2_BossM_09	S4EP2FX_301_V1_1028.OGG
ep2	e2_BossM_11	S4EP2FX_303_V1_1028.OGG
ep2zone1	Attention	S4EP2FX_024_S1C2_44.OGG
ep2zone1	B_Piller01	S4EP2FX_159X_S3_59_1208V2.OGG
ep2zone1	B_Piller_D01	S4EP2FX_175_V2_1204.OGG
ep2zone1	Barrier	S4EP2FX_018_SK3A_44.OGG
ep2zone1	Bl_land02	S4EP2FX_163_V2_1210.OGG
ep2zone1	Boss0_01	S4EP2FX_031a_S2_132C_44.OGG
ep2zone1	Boss0_02	S4EP2FX_032_S1CB_44.OGG
ep2zone1	Boss0_03	S4EP2FX_033a_SB_EXPL2_22.OGG
ep2zone1	Brake	S4EP2FX_010_SK36_44.OGG
ep2zone1	BreakOBJ	S4EP2FX_071_SK6E_44.OGG
ep2zone1	BreakWall	S4EP2FX_072_SK81_44.OGG
ep2zone1	Breathe	S4EP2FX_025_S1AD_44.OGG
ep2zone1	Cancel	S4EP2FX_002_SHSY09_22.OGG
